"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region","se"
6,0.166472105637054,0.0348608394119475,0.107852128002296,0.243340969532333,1.00150068444938,2400,2008,"MM.p.w","South Asia",NA
7,0.200906137353797,0.0376273644343976,0.137189559908334,0.282821545502077,1.00096639442884,4500,2009,"MM.p.w","South Asia",NA
8,0.227435043697219,0.0425233797546997,0.153275404457748,0.315337043406212,1.00127324757685,3300,2010,"MM.p.w","South Asia",NA
9,0.117919716093585,0.0286322069763257,0.0716915769531012,0.18283762452466,1.00104504272005,4500,2011,"MM.p.w","South Asia",NA
10,0.111140431015109,0.0289703975029153,0.0640724911941732,0.177372010812253,1.00380557366774,640,2012,"MM.p.w","South Asia",NA
11,0.0944876578092042,0.0270177763132202,0.0512087562717672,0.154250038335822,1.00122278210208,3600,2013,"MM.p.w","South Asia",NA
12,0.171001702291053,0.040910157699894,0.100170358780613,0.259523276222397,1.00133047952456,3000,2014,"MM.p.w","South Asia",NA
13,0.294181776818197,0.0500289104558711,0.200259875249887,0.393650477837463,1.00079172361613,4500,2015,"MM.p.w","South Asia",NA
14,0.164041428574985,0.0321286857880093,0.110395081739303,0.23403334912371,1.0014980200119,2400,2016,"MM.p.w","South Asia",NA
15,0.175331411580944,0.0332907710000602,0.118615168375744,0.248464474257712,1.00161412478997,2100,2017,"MM.p.w","South Asia",NA
1,-0.014143077887769,NA,-0.528571764692711,0.500285608917173,NA,NA,2003,"LSMeans","South Asia",0.259730350993192
1,0.315044011463569,NA,0.0156568377224962,0.614431185204642,NA,NA,2003,"LSMeans","South East Asia",0.149817895083798
2,0.035856922112231,NA,-0.260300902626379,0.332014746850841,NA,NA,2004,"LSMeans","South Asia",0.149527383953815
2,0.405156515358447,NA,0.0614688042971233,0.748844226419771,NA,NA,2004,"LSMeans","South East Asia",0.171986557720432
3,0.0903345340525295,NA,-0.179082250685443,0.359751318790502,NA,NA,2005,"LSMeans","South Asia",0.136026076807773
3,0.80818835165658,NA,0.441070100044311,1.17530660326885,NA,NA,2005,"LSMeans","South East Asia",0.183711556564418
4,0.387370088802966,NA,0.0590768608295025,0.715663316776429,NA,NA,2006,"LSMeans","South East Asia",0.164282924250412
4,0.0906188268741358,NA,-0.16330353145205,0.344541185200321,NA,NA,2006,"LSMeans","South Asia",0.128203082263346
5,0.0983067213090182,NA,-0.138776226344881,0.335389668962918,NA,NA,2007,"LSMeans","South Asia",0.119701017435671
5,0.851956829200582,NA,0.404609632258259,1.29930402614291,NA,NA,2007,"LSMeans","South East Asia",0.223859341000024
6,0.148137623866617,NA,-0.0901135456819336,0.386388793415167,NA,NA,2008,"LSMeans","South Asia",0.120290842012952
6,0.551201190312616,NA,0.250966413363397,0.851435967261834,NA,NA,2008,"LSMeans","South East Asia",0.15024204862025
7,0.154415332817704,NA,-0.0804982323965059,0.389328898031914,NA,NA,2009,"LSMeans","South Asia",0.118605716032481
7,0.44701228179978,NA,0.195544398459759,0.6984801651398,NA,NA,2009,"LSMeans","South East Asia",0.125838353368348
8,0.510015344239531,NA,0.222213752504341,0.797816935974721,NA,NA,2010,"LSMeans","South East Asia",0.144020293644321
8,0.181308928479653,NA,-0.0553500531495253,0.417967910108832,NA,NA,2010,"LSMeans","South Asia",0.119486960857501
9,0.11098173131196,NA,-0.122423495345855,0.344386957969775,NA,NA,2011,"LSMeans","South Asia",0.117844169655465
9,0.359891234129932,NA,0.118266162162234,0.601516306097629,NA,NA,2011,"LSMeans","South East Asia",0.120912860859495
10,0.0813228399874808,NA,-0.151361878818199,0.314007558793161,NA,NA,2012,"LSMeans","South Asia",0.117480391813894
10,0.50636961965358,NA,0.201506058507413,0.811233180799747,NA,NA,2012,"LSMeans","South East Asia",0.152558362631029
11,0.048716790017662,NA,-0.183846877857596,0.28128045789292,NA,NA,2013,"LSMeans","South Asia",0.117419274303434
11,0.478725895394725,NA,0.228442298516639,0.729009492272811,NA,NA,2013,"LSMeans","South East Asia",0.125245718411124
12,0.512478580748418,NA,0.131169666848062,0.893787494648774,NA,NA,2014,"LSMeans","South East Asia",0.190812779797464
12,0.102054105210823,NA,-0.133456664710146,0.337564875131791,NA,NA,2014,"LSMeans","South Asia",0.118907239240808
13,0.173650349342278,NA,-0.0655719265987917,0.412872625283348,NA,NA,2015,"LSMeans","South Asia",0.12078114477143
13,0.328512466142228,NA,0.00551708962466707,0.651507842659789,NA,NA,2015,"LSMeans","South East Asia",0.161631798807489
14,0.13010475104881,NA,-0.103450682608658,0.363660184706277,NA,NA,2016,"LSMeans","South Asia",0.117920007799297
14,0.31070556017577,NA,0.0193470580914559,0.602064062260084,NA,NA,2016,"LSMeans","South East Asia",0.145800225679648
15,0.103624488361185,NA,-0.128864786431756,0.336113763154127,NA,NA,2017,"LSMeans","South Asia",0.117381713914838
15,0.873561110467634,NA,0.486535575803285,1.26058664513198,NA,NA,2017,"LSMeans","South East Asia",0.193673463771169
16,0.377195660858633,NA,0.0625177640359795,0.691873557681287,NA,NA,2018,"LSMeans","South East Asia",0.157469605468602
17,0.454357553401743,NA,0.132276075865528,0.776439030937958,NA,NA,2019,"LSMeans","South East Asia",0.161174469857843
